ID,RespondenID,Option,Next_vs_standard_increase,Same_vs_standard_increase,Delivery_fee_small,Delivery_fee_Medium,Delivery_fee_Large,Diesel_van,Electic_van,Micro_hub_with_bike,Off_peak,Signature,Failed_approach,Tracking,Insurance,Choice_shipper,Choice_recipient
1,2,1,0.37,0.75,3.5,7.5,12.8,20,80,1,1,0,1,1,1,1,1
2,2,1,0.15,0.52,4.9,6.2,10.7,91,9,1,1,0,1,0,0,0,0
3,2,1,0.51,1,3.6,7.7,12.4,43,57,1,0,1,0,0,0,0,0
4,2,1,0.35,0.59,3.4,6,12.8,7,93,1,1,0,0,0,1,1,1
5,2,1,0.15,0.34,3.1,7.9,9.3,47,53,0,1,0,1,1,0,0,1
6,2,1,0.02,0.36,4.3,5.9,10,89,11,1,1,0,1,0,0,1,0
7,2,1,0.76,1.11,4.6,5.9,11,68,32,0,1,1,0,0,0,0,1
8,2,1,0.99,1.3,4.3,6.2,10.6,83,17,0,1,1,1,0,0,1,0
9,2,1,0.39,0.6,4.1,7.5,9.2,33,67,1,1,0,1,0,0,1,1
10,2,1,0.48,0.91,4.1,7.8,10.4,95,5,1,0,1,1,0,0,0,0
11,2,1,0.42,0.7,4.8,7.7,11.6,22,78,0,0,1,1,1,0,0,0
12,2,1,0.34,0.62,4.8,5.1,9.1,28,72,0,1,0,1,1,1,1,1
13,2,1,1,1.16,3.5,5.7,9.1,64,36,1,1,1,1,1,0,1,1
14,2,1,0.04,0.13,4.8,5.4,11.9,77,23,1,0,0,1,0,0,0,0
15,2,1,0.6,1.3,3.5,6.2,11.4,1,99,1,0,0,1,1,0,1,1
16,2,1,0.18,0.92,3.9,5.1,10.9,5,95,0,1,0,1,0,1,0,0
17,2,1,0.06,0.37,4.5,5.2,12.5,80,20,1,1,1,0,1,1,0,1
18,2,1,0.08,0.49,3.6,7.2,10.9,97,3,0,0,0,0,1,0,1,0
19,2,1,0.54,1.3,3.7,5.2,10,87,13,0,0,0,1,0,1,0,0
20,2,1,0.5,1.22,3.1,6.8,9.1,25,75,1,1,0,0,0,0,1,1
21,2,1,0.19,1,4.5,7.8,11.6,92,8,0,1,1,0,0,1,0,0
22,2,1,0.09,0.73,3.6,6.4,9.6,4,96,0,1,1,1,0,1,1,1
23,2,1,0.99,1.3,3.7,6.7,9.3,64,36,1,0,1,0,1,1,1,0
24,2,1,0.07,0.64,4.8,6.9,9.2,11,89,1,0,1,1,1,1,0,1
25,2,1,0.59,0.61,4.1,7.9,11.3,52,48,1,1,0,0,0,1,0,1
26,2,1,0.38,0.59,4.1,6.4,11.8,7,93,0,1,0,0,1,0,1,0
27,2,1,0.42,0.51,4,5.7,12.8,31,69,0,1,0,1,1,1,1,0
28,2,1,0.43,0.78,4.9,7.1,11.1,73,27,1,1,1,1,1,1,0,1
29,2,1,0.34,0.5,3.1,5.5,9.3,63,37,0,1,1,0,1,1,1,0
30,2,1,0.41,1.1,4.1,5.5,10.4,10,90,0,1,0,0,0,1,0,1
31,2,1,0.18,1.17,3.9,5.8,10.5,76,24,1,1,1,1,0,1,1,1
32,2,1,0.6,0.88,3.8,7.1,10.7,50,50,1,1,0,0,1,1,0,0
33,2,1,0.63,1,4.2,6.5,9.8,75,25,1,0,0,0,1,1,0,1
34,2,1,0.7,1.3,3.5,5.8,11.7,85,15,0,0,1,0,0,1,1,0
35,2,1,0.18,1.16,3.7,5.8,10.2,44,56,1,0,1,1,0,1,1,0
36,2,1,0.78,1.29,3.8,6.6,12.7,88,12,0,1,0,1,1,1,0,1
37,2,1,0.18,1.18,4,6.9,10.6,96,4,1,0,1,1,1,1,0,0
38,2,1,0.52,0.59,4.2,6.4,9.6,30,70,1,0,0,1,0,0,1,1
39,2,1,0.26,0.85,4.4,5.4,11.6,86,14,0,0,1,1,1,1,0,0
40,2,1,0.71,1.3,3.8,6.9,9.4,45,55,0,0,0,1,1,1,1,1
41,2,1,0.93,1.3,4.5,5.2,9.4,88,12,0,1,1,1,1,1,1,1
42,2,1,0.11,0.38,4.4,7.1,10,47,53,0,0,0,0,0,1,0,0
43,2,1,0.68,1.3,3.7,7.6,11.3,25,75,1,1,0,1,1,1,0,1
44,2,1,0.48,0.76,3.4,5.7,12.3,67,33,0,1,0,1,0,0,1,0
45,2,1,0.08,0.21,4.2,5.9,12.4,32,68,1,0,0,1,0,1,0,1
46,2,1,0.01,0.41,3.7,6.4,10,83,17,0,0,1,0,1,1,1,0
47,2,1,0.1,0.78,3.3,5.8,11.4,68,32,1,0,1,1,1,0,1,0
48,2,1,0.29,0.58,4.5,5.2,12,9,91,0,1,0,0,1,1,0,1
49,2,1,0.57,0.77,3.7,7.9,11,87,13,0,0,0,1,1,1,0,1
50,2,1,0.47,1.3,3.5,5.3,10.1,33,67,0,1,0,1,0,1,1,0
51,1,1,0.72,1.3,4.6,6.5,10,9,91,1,1,1,1,0,1,1,1
52,1,1,0.04,0.17,3.8,6.8,12.7,68,32,0,1,0,0,0,1,0,0
53,1,1,0.07,0.76,3.4,7.9,9.8,50,50,1,1,1,0,1,1,1,1
54,1,1,0.45,0.66,4.2,5.2,9,71,29,1,1,0,0,0,0,0,0
55,1,1,0.93,1.3,4.6,7,9,86,14,0,0,1,1,1,1,0,0
56,1,1,0.57,0.61,3.4,7.6,9.1,86,14,1,1,0,0,1,1,1,1
57,1,1,0.69,1.26,3.5,6.8,11.7,73,27,0,1,1,1,1,0,1,0
58,1,1,0.27,0.29,4.9,6.9,11.2,15,85,1,1,0,1,1,1,0,1
59,1,1,0.84,1.16,4.9,7.2,11.9,25,75,0,0,1,0,1,0,1,1
60,1,1,0.74,1.3,4.3,7.1,12.1,25,75,0,1,0,0,1,0,0,0
61,1,1,0.81,1.3,3.6,6.3,10.1,19,81,1,0,0,0,1,1,0,0
62,1,1,0.7,1.3,3.8,6,11.3,22,78,0,0,1,1,1,0,1,1
63,1,1,0.07,0.31,3.9,6.5,10.5,83,17,1,1,0,1,1,1,1,0
64,1,1,0.57,1.3,3.9,7.6,10.4,54,46,1,0,0,0,1,1,0,1
65,1,1,0.68,0.73,4.7,6.8,11.4,39,61,1,0,1,1,0,1,0,0
66,1,1,0.65,0.78,3,6.7,12.9,34,66,0,0,0,1,0,1,1,1
67,1,1,0.24,0.93,4.1,5.2,12.8,66,34,1,1,0,0,1,1,1,1
68,1,1,0.47,0.53,4.5,6,11.9,57,43,0,0,1,0,0,0,0,0
69,1,1,0.37,0.7,3.4,7.8,9.7,5,95,0,0,1,0,1,1,1,1
70,1,1,0.2,1.01,4.2,7.7,12,85,15,0,0,0,0,1,0,0,0
71,1,1,0.18,0.76,4.3,7,10.2,81,19,1,1,0,0,1,1,0,0
72,1,1,0.43,1.3,3.9,6.5,10.2,56,44,0,1,1,1,1,0,1,1
73,1,1,0.02,0.79,3.6,5.1,10.4,82,18,1,0,0,0,0,0,1,0
74,1,1,0.34,0.36,4.7,8,11.1,23,77,1,0,0,0,0,1,0,1
75,1,1,0.58,1.3,4.8,5.4,12.6,77,23,0,1,1,0,0,1,1,1
76,1,1,0.54,1.3,4.6,6.9,10.1,96,4,0,0,0,1,0,0,0,0
77,1,1,0.59,1.3,5,7.7,11.4,26,74,0,0,1,1,1,1,0,1
78,1,1,0.47,1.3,3.8,5.5,9.3,83,17,1,1,1,1,1,0,1,0
79,1,1,0.73,1.3,4.6,5.8,9.9,51,49,1,1,0,0,1,0,1,0
80,1,1,0.76,1.1,4.7,7.1,12.9,86,14,1,1,1,0,0,1,0,1
81,1,1,0.01,0.87,3.7,5.9,9.5,0,100,1,1,1,0,1,1,1,1
82,1,1,0.66,1.3,4.7,7.8,10.3,85,15,0,0,1,1,0,1,0,0
83,1,1,0.77,1.2,4.3,6,9.4,27,73,1,1,1,0,0,1,1,1
84,1,1,0.32,0.45,4,6,12.5,46,54,1,1,0,1,0,1,0,0
85,1,1,0.06,0.24,4,5.7,11.3,64,36,0,0,0,1,1,0,1,1
86,1,1,0.16,0.82,4.4,5.4,11.6,70,30,0,0,0,1,1,1,0,0
87,1,1,0.49,1.07,3.6,6.5,9.5,15,85,0,1,1,1,0,0,1,0
88,1,1,0.44,1.3,4.4,6.4,9,10,90,0,0,0,1,1,0,0,1
89,1,1,0.49,1.09,4.3,6.9,10,84,16,1,0,0,1,0,0,0,0
90,1,1,0.7,1.3,3.9,7.8,12.5,82,18,1,0,0,0,0,0,1,1
91,1,1,0.61,1.3,3.1,5.8,9.2,23,77,0,0,1,0,1,1,1,0
92,1,1,0.15,0.8,3.8,5,10.5,0,100,0,0,1,0,1,1,0,1
93,1,1,0.94,1.11,5,7.8,9.7,26,74,1,0,0,0,1,1,0,0
94,1,1,0.31,0.87,4.3,5,11.3,43,57,1,0,1,1,1,0,1,1
95,1,1,0.63,1.02,4.9,6.9,11.4,90,10,0,1,0,0,0,1,0,0
96,1,1,0.12,0.33,3.5,5.7,11.6,71,29,0,1,1,0,1,0,1,1
97,1,1,0.61,0.66,4,7.9,10.4,100,0,1,0,1,1,1,1,0,0
98,1,1,0.96,1.1,3.6,7.5,12.7,50,50,0,0,1,1,0,0,1,1
99,1,1,0.8,0.82,3.6,6.7,9.9,90,10,0,1,0,1,1,0,1,0
100,1,1,0.01,0.1,3.9,5.6,11.9,56,44,0,1,0,0,1,0,0,1
